Driver,Wins,AvgStart,AvgMidRace,AvgFinish,AvgPos,PassDiff,GreenFlagPasses,GreenFlagPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsInTop15,PercentLapsInTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Points,Year
Kyle Larson,0,12.8,12.3,12.6,11.7,519,2880,2361,1523,52.9,623,7592,77.7,782,8.0,9768,95.7,2299,2018
Ryan Blaney,1,9.4,11.3,14.8,10.6,-4,2349,2353,1412,60.1,344,7387,77.6,660,6.9,9525,94.3,2298,2018
Denny Hamlin,0,10.3,11.4,12.6,12.0,19,2609,2590,1546,59.3,408,7861,79.2,380,3.8,9926,91.4,2285,2018
Clint Bowyer,2,13.7,10.4,13.8,11.4,135,2597,2462,1582,60.9,398,8069,81.4,490,4.9,9911,93.0,2272,2018
Austin Dillon,1,18.8,17.0,17.5,18.0,-93,2669,2762,1036,38.8,108,4510,45.1,23,0.2,9993,72.0,2245,2018
Jimmie Johnson,0,19.2,17.1,16.7,16.1,431,3013,2582,1418,47.1,169,5659,58.0,40,0.4,9764,79.2,2242,2018
Erik Jones,1,10.6,14.8,14.0,14.3,5,2614,2609,1397,53.4,223,6353,64.6,99,1.0,9836,84.7,2220,2018
Alex Bowman,0,13.1,17.0,17.0,15.8,5,3004,2999,1570,52.3,205,5545,55.6,71,0.7,9977,77.6,2204,2018
Ryan Newman,0,15.4,16.5,17.3,16.3,-98,2945,3043,1307,44.4,136,5160,51.2,57,0.6,10077,74.0,769,2018
Ricky Stenhouse Jr.,0,14.8,18.4,19.4,18.5,-143,3157,3300,1215,38.5,197,3600,35.7,133,1.3,10076,71.3,701,2018
Paul Menard,0,17.2,17.9,19.4,18.7,-93,2534,2627,1079,42.6,122,4014,42.7,14,0.1,9410,71.1,692,2018
Jamie McMurray,0,18.1,17.9,18.9,17.8,-81,2469,2550,807,32.7,58,3715,37.9,9,0.1,9799,71.5,683,2018
Daniel Su<e1>rez,0,17.4,17.8,18.5,18.7,-51,2760,2811,1142,41.4,120,3789,39.1,35,0.4,9682,70.5,674,2018
AJ Allmendinger,0,22.1,24.5,21.3,22.7,86,2374,2288,418,17.6,59,1661,18.0,19,0.2,9214,59.0,603,2018
William Byron,0,17.7,19.4,22.1,18.7,-175,2531,2706,925,36.5,73,3480,37.2,61,0.7,9352,68.1,587,2018
Chris Buescher,0,21.6,21.8,21.0,22.0,-38,2526,2564,581,23.0,39,1619,16.6,1,0.0,9759,59.3,585,2018
David Ragan,0,24.2,23.5,22.9,24.7,-266,2543,2809,469,18.4,41,553,5.6,0,0.0,9882,53.5,524,2018
Michael McDowell,0,23.0,25.6,24.5,24.4,-86,2486,2572,531,21.4,71,601,6.7,33,0.4,8964,53.6,493,2018
Ty Dillon,0,27.2,24.7,24.1,25.1,-152,2479,2631,402,16.2,40,832,8.4,3,0.0,9871,52.4,482,2018
Bubba Wallace,0,24.8,23.1,24.5,24.3,59,2686,2627,620,23.1,34,1175,12.5,19,0.2,9391,54.8,471,2018
Matt DiBenedetto,0,29.1,27.2,27.0,27.5,-124,1993,2117,190,9.5,35,261,2.7,8,0.1,9610,46.0,368,2018
Kasey Kahne,0,26.0,22.0,22.8,22.6,-6,1813,1819,472,26.0,76,910,13.8,30,0.5,6584,55.1,358,2018
Trevor Bayne,0,20.6,20.4,23.9,22.1,-149,1988,2137,591,29.7,60,1136,19.7,0,0.0,5752,59.3,287,2018
Matt Kenseth,0,21.9,21.1,19.9,21.3,-2,881,883,152,17.3,18,488,11.7,5,0.1,4162,63.8,268,2018
Regan Smith,0,28.5,26.7,23.0,27.7,-23,730,753,139,19.0,23,110,3.5,10,0.3,3162,51.3,157,2018
Corey LaJoie,0,32.8,33.0,31.5,32.4,-150,579,729,21,3.6,9,28,0.6,0,0.0,5073,36.7,144,2018
Cole Whitt,0,33.5,30.1,26.8,29.0,31,736,705,73,9.9,36,55,1.6,0,0.0,3389,41.3,132,2018
Gray Gaulding,0,32.4,33.3,31.5,33.3,-168,466,634,15,3.2,2,24,0.5,0,0.0,4997,33.4,119,2018
Jeffrey Earnhardt,0,33.5,31.9,30.9,32.4,-75,526,601,10,1.9,7,21,0.5,0,0.0,4056,35.6,110,2018
Kyle Weatherman,0,32.7,35.7,32.3,34.8,-14,108,122,0,0.0,0,2,0.1,0,0.0,1774,30.9,33,2018
Harrison Rhodes,0,36.0,34.8,33.5,33.9,-6,59,65,0,0.0,0,0,0.0,0,0.0,1920,29.7,24,2018
Blake Jones,0,38.7,33.3,30.0,32.4,-15,24,39,0,0.0,0,0,0.0,0,0.0,968,34.8,21,2018
Mark Thompson,0,40.0,33.0,22.0,31.1,0,6,6,0,0.0,0,0,0.0,0,0.0,203,39.7,15,2018
Cody Ware,0,38.3,34.0,34.5,35.0,-15,27,42,0,0.0,0,2,0.3,0,0.0,777,28.0,11,2018
Derrike Cope,0,37.3,38.0,34.7,36.7,-4,29,33,0,0.0,0,0,0.0,0,0.0,642,26.4,8,2018
Tanner Berryhill,0,36.5,35.5,34.5,36.0,-2,22,24,0,0.0,0,0,0.0,0,0.0,537,28.0,7,2018
Chris Cook,0,36.0,35.0,31.0,31.4,26,69,43,0,0.0,0,1,0.9,0,0.0,109,33.3,6,2018
Tomy Drissi,0,37.0,34.0,32.0,32.9,8,47,39,0,0.0,0,1,0.9,0,0.0,108,30.3,5,2018
Danica Patrick,0,28.0,32.0,35.0,26.0,2,150,148,22,14.7,3,18,17.8,0,0.0,101,40.0,2,2018
Alon Day,0,34.0,38.0,38.0,38.3,3,8,5,0,0.0,0,0,0.0,0,0.0,383,25.3,1,2018
Stanton Barrett,0,39.0,40.0,40.0,39.1,0,3,3,0,0.0,0,0,0.0,0,0.0,11,23.3,1,2018
Hermie Sadler,0,31.0,40.0,40.0,38.2,-14,6,20,0,0.0,0,0,0.0,0,0.0,230,25.2,1,2018
Brendan Gaughan,0,24.8,22.3,18.5,20.7,14,770,756,222,28.8,12,195,26.1,2,0.3,747,59.4,0,2018
David Gilliland,0,39.0,17.0,14.0,24.8,-15,50,65,2,4.0,3,12,5.8,0,0.0,206,50.2,0,2018
D.J. Kennington,0,33.9,30.3,26.5,30.4,-98,237,335,21,8.9,9,45,1.5,0,0.0,2962,39.0,0,2018
Justin Marks,0,31.0,29.7,22.3,28.8,1,196,195,8,4.1,3,12,2.8,1,0.2,423,43.3,0,2018
Ross Chastain,0,31.8,31.2,28.4,30.4,172,1236,1064,54,4.4,22,90,1.0,1,0.0,8945,39.8,0,2018
Joey Gase,0,35.9,32.1,31.1,32.3,-72,435,507,92,21.1,16,70,3.4,0,0.0,2077,36.5,0,2018
Cole Custer,0,22.7,27.3,25.7,27.6,-18,154,172,5,3.2,1,18,2.2,0,0.0,820,46.1,0,2018
Timmy Hill,0,37.1,36.7,35.7,36.5,-9,185,194,0,0.0,3,4,0.1,0,0.0,4393,27.2,0,2018
Reed Sorenson,0,34.7,34.1,32.6,33.8,17,230,213,0,0.0,1,5,0.2,0,0.0,3297,32.5,0,2018
J.J. Yeley,0,34.7,31.7,31.0,32.1,-121,630,751,10,1.6,4,25,0.5,0,0.0,4674,36.8,0,2018
Landon Cassill,0,33.9,32.4,29.7,32.3,-86,652,738,0,0.0,19,18,0.2,0,0.0,7832,36.1,0,2018
Chad Finchum,0,38.0,30.0,33.0,31.7,-8,8,16,0,0.0,0,0,0.0,0,0.0,335,34.1,0,2018
Daniel Hemric,0,16.5,18.0,27.5,25.7,-43,98,141,14,14.3,0,45,8.9,0,0.0,508,52.6,0,2018
Timothy Peters,0,32.0,31.0,23.0,29.5,-2,54,56,0,0.0,2,0,0.0,0,0.0,187,45.1,0,2018
BJ McLeod,0,35.1,35.4,33.5,35.2,-38,202,240,0,0.0,0,2,0.1,0,0.0,3443,30.2,0,2018
Parker Kligerman,0,31.8,27.0,26.3,28.2,2,144,142,6,4.2,0,10,1.1,0,0.0,922,45.2,0,2018
Garrett Smithley,0,36.7,37.7,35.7,36.3,-1,33,34,0,0.0,0,2,0.4,0,0.0,445,28.0,0,2018
Ray Black Jr.,0,39.0,13.0,16.0,27.2,-21,39,60,1,2.6,0,13,7.8,0,0.0,167,47.5,0,2018
Jesse Little,0,35.5,35.0,35.0,34.8,3,26,23,0,0.0,0,0,0.0,0,0.0,312,32.6,0,2018
Spencer Gallagher,0,34.0,36.0,35.0,35.2,-3,8,11,0,0.0,0,0,0.0,0,0.0,73,27.5,0,2018
Josh Bilicki,0,33.0,34.0,36.0,30.0,-1,26,27,0,0.0,0,1,1.4,0,0.0,69,30.5,0,2018
David Starr,0,38.0,39.0,39.0,38.5,-9,5,14,0,0.0,0,0,0.0,0,0.0,344,24.8,0,2018
Jeb Burton,0,39.0,37.0,33.0,37.2,6,14,8,0,0.0,0,0,0.0,0,0.0,489,30.2,0,2018
Martin Truex Jr.,8,6.8,8.0,9.4,7.2,150,2841,2691,1800,63.4,1338,9478,91.4,2253,21.7,10368,116.1,5040,2017
Kyle Busch,5,7.2,11.1,11.5,8.9,57,3040,2983,1733,57.0,1129,8628,83.9,2023,19.7,10284,108.6,5035,2017
Kevin Harvick,2,8.8,9.1,11.1,9.7,74,2845,2771,1647,57.9,643,8509,83.8,850,8.4,10155,103.1,5033,2017
Brad Keselowski,3,8.8,13.7,12.4,12.0,96,2947,2851,1842,62.5,680,7599,80.0,778,8.2,9493,96.3,5030,2017
Chase Elliott,0,10.8,11.6,12.0,10.6,287,3479,3192,2243,64.5,458,8831,88.0,560,5.6,10034,96.3,2377,2017
Denny Hamlin,2,8.4,8.6,11.6,10.3,-220,3008,3228,1935,64.3,376,8468,81.7,710,6.9,10359,94.9,2353,2017
Matt Kenseth,1,10.4,9.9,14.3,11.2,-36,3028,3064,1787,59.0,431,8076,79.9,421,4.2,10113,93.5,2344,2017
Kyle Larson,4,11.3,10.3,13.3,10.3,356,3279,2923,1955,59.6,818,8523,87.2,1352,13.8,9777,102.3,2320,2017
Ryan Blaney,1,10.3,13.6,17.3,13.2,-37,3238,3275,1936,59.8,241,6791,65.3,301,2.9,10395,87.7,2305,2017
Jimmie Johnson,3,16.9,13.6,16.8,14.2,440,3633,3193,2025,55.7,369,7371,74.0,217,2.2,9955,86.1,2260,2017
Jamie McMurray,0,10.1,13.6,14.6,13.2,37,3442,3405,2041,59.3,149,7821,79.6,21,0.2,9824,86.6,2224,2017
Austin Dillon,1,19.1,18.8,18.6,18.1,-21,3408,3429,1248,36.6,77,4355,42.9,12,0.1,10146,70.6,2224,2017
Ricky Stenhouse Jr.,2,15.9,19.7,17.1,18.5,53,3594,3541,1705,47.4,142,4492,45.0,56,0.6,9979,73.5,2222,2017
Kurt Busch,1,11.8,13.7,16.5,14.9,175,3585,3410,1939,54.1,124,6636,67.5,16,0.2,9837,82.0,2217,2017
Kasey Kahne,1,17.9,16.4,19.4,17.3,109,3827,3718,1625,42.5,89,4780,47.5,41,0.4,10068,72.8,2198,2017
Ryan Newman,1,17.1,16.1,15.8,17.7,-121,2925,3046,1146,39.2,110,5341,53.0,46,0.5,10075,72.3,2196,2017
Joey Logano,1,12.4,15.1,15.2,13.0,-18,3218,3236,1843,57.3,302,7205,69.6,376,3.6,10346,87.1,930,2017
Clint Bowyer,0,13.2,15.0,15.5,15.0,239,3283,3044,1803,54.9,119,6794,67.6,22,0.2,10056,82.0,871,2017
Erik Jones,0,14.6,14.3,17.0,15.0,117,3075,2958,1407,45.8,274,6583,69.0,310,3.3,9538,83.1,863,2017
Daniel Su<e1>rez,0,13.9,18.2,16.2,17.5,-284,3309,3593,1303,39.4,79,4597,45.6,40,0.4,10084,73.6,777,2017
Dale Earnhardt Jr.,0,17.0,16.8,20.0,17.4,79,3603,3524,1593,44.2,159,4715,48.4,47,0.5,9747,74.7,668,2017
Trevor Bayne,0,21.1,20.5,19.5,20.6,-100,3556,3656,1449,40.7,62,3025,29.6,8,0.1,10227,64.8,660,2017
Paul Menard,0,21.7,20.6,19.6,21.2,-124,3850,3974,1027,26.7,58,1447,13.9,5,0.0,10405,62.1,631,2017
Ty Dillon,0,26.2,22.3,20.7,22.6,43,3584,3541,861,24.0,60,1305,12.8,40,0.4,10210,60.1,593,2017
Chris Buescher,0,25.3,24.6,21.4,23.7,-84,2809,2893,444,15.8,60,935,9.4,5,0.1,9948,57.7,564,2017
Michael McDowell,0,23.9,24.2,22.3,23.8,-128,3475,3603,950,27.3,46,770,7.4,10,0.1,10446,56.9,542,2017
AJ Allmendinger,0,23.9,24.2,22.0,23.3,56,2701,2645,490,18.1,79,1237,12.4,7,0.1,9941,58.3,531,2017
Danica Patrick,0,22.1,20.5,23.8,22.5,-119,3565,3684,742,20.8,44,1094,11.1,7,0.1,9888,58.8,511,2017
Aric Almirola,0,22.4,22.4,18.8,22.0,11,2748,2737,663,24.1,53,1223,14.4,2,0.0,8509,62.7,502,2017
David Ragan,0,29.0,26.1,24.9,26.2,-129,3117,3246,644,20.7,52,472,4.6,4,0.0,10188,50.8,447,2017
Landon Cassill,0,29.4,26.5,26.5,27.2,-207,2532,2739,328,13.0,27,380,3.9,12,0.1,9815,46.7,382,2017
Matt DiBenedetto,0,28.9,30.0,27.1,28.7,-147,2362,2509,202,8.6,32,192,2.0,12,0.1,9617,44.5,363,2017
Cole Whitt,0,32.1,29.6,28.3,29.7,-43,2091,2134,154,7.4,13,194,2.0,3,0.0,9724,42.2,322,2017
Gray Gaulding,0,34.6,33.2,31.2,33.1,-190,1032,1222,44,4.3,34,44,0.6,0,0.0,7787,35.1,164,2017
Reed Sorenson,0,34.8,34.0,32.1,33.4,-9,665,674,11,1.7,3,19,0.2,1,0.0,7959,34.8,150,2017
Jeffrey Earnhardt,0,36.1,35.3,33.5,34.8,-66,587,653,14,2.4,7,28,0.4,0,0.0,7806,30.4,145,2017
Derrike Cope,0,37.2,36.5,35.1,36.2,-23,148,171,0,0.0,1,2,0.1,0,0.0,3681,28.2,42,2017
Michael Waltrip,0,30.0,10.0,8.0,22.7,13,227,214,57,25.1,14,50,25.0,0,0.0,200,72.2,29,2017
D.J. Kennington,0,36.3,33.5,33.3,32.4,-24,271,295,3,1.1,5,4,0.7,0,0.0,612,34.8,17,2017
Boris Said,0,34.5,30.5,29.5,29.8,13,123,110,2,1.6,0,10,5.1,0,0.0,198,34.5,15,2017
Billy Johnson,0,26.0,34.0,22.0,24.3,13,107,94,11,10.3,2,19,17.3,0,0.0,110,52.1,15,2017
Cody Ware,0,38.4,37.8,37.8,37.0,-5,40,45,0,0.0,2,0,0.0,0,0.0,610,25.1,6,2017
Gary Klutt,0,34.0,31.0,31.0,31.6,10,35,25,0,0.0,0,0,0.0,0,0.0,89,30.3,6,2017
Alon Day,0,32.0,33.0,32.0,32.1,31,72,41,2,2.8,0,4,3.7,0,0.0,108,32.4,5,2017
Kyle Weatherman,0,38.5,38.5,34.5,37.8,1,6,5,0,0.0,0,0,0.0,0,0.0,782,27.1,5,2017
Kevin O'Connell,0,36.0,35.0,33.0,32.2,30,94,64,2,2.1,0,0,0.0,0,0.0,108,28.0,4,2017
Tommy Regan,0,37.0,37.0,34.0,34.0,26,69,43,0,0.0,0,1,0.9,0,0.0,107,26.0,3,2017
Hermie Sadler,0,40.0,35.0,34.0,34.4,-3,11,14,0,0.0,0,1,0.2,0,0.0,494,30.5,3,2017
Joey Gase,0,35.2,31.8,30.2,32.8,-45,673,718,47,7.0,3,31,1.6,0,0.0,1948,34.9,0,2017
Corey LaJoie,0,34.1,32.2,30.2,31.9,-134,1185,1319,84,7.1,24,57,0.7,0,0.0,8668,37.4,0,2017
Brendan Gaughan,0,34.5,24.0,15.8,24.9,0,822,822,184,22.4,23,119,16.5,6,0.8,723,60.3,0,2017
Elliott Sadler,0,36.0,20.0,19.3,24.4,9,520,511,90,17.3,8,86,15.6,7,1.3,553,50.5,0,2017
Timmy Hill,0,37.3,36.1,32.6,35.4,-5,186,191,0,0.0,0,11,0.3,0,0.0,3940,30.2,0,2017
J.J. Yeley,0,30.8,31.3,30.0,30.4,-6,160,166,8,5.0,3,4,0.3,0,0.0,1288,41.8,0,2017
Carl Long,0,39.7,36.3,33.3,35.4,6,25,19,0,0.0,3,1,0.1,0,0.0,1050,30.1,0,2017
Regan Smith,0,27.5,19.5,28.0,20.9,-17,124,141,25,20.2,0,134,18.4,0,0.0,728,56.9,0,2017
Ryan Sieg,0,34.0,33.6,31.6,33.6,-36,74,110,0,0.0,1,3,0.3,0,0.0,1167,34.0,0,2017
Ross Chastain,0,34.0,32.0,29.0,31.7,-12,47,59,1,2.1,5,2,0.3,0,0.0,751,40.6,0,2017
Bubba Wallace,0,22.5,18.5,17.8,20.5,-10,533,543,176,33.0,4,213,26.8,0,0.0,795,64.6,0,2017
Josh Bilicki,0,35.5,36.5,36.0,33.8,-12,77,89,0,0.0,0,3,0.8,0,0.0,390,27.5,0,2017
BJ McLeod,0,37.0,36.3,33.4,36.2,14,63,49,0,0.0,17,0,0.0,0,0.0,2325,29.2,0,2017
Stephen Leicht,0,36.0,31.0,32.0,32.9,0,23,23,0,0.0,0,0,0.0,0,0.0,153,33.0,0,2017
Brett Moffitt,0,35.7,35.4,33.7,34.5,24,145,121,0,0.0,0,1,0.1,0,0.0,1554,32.9,0,2017
Ray Black Jr.,0,36.3,39.3,37.3,38.3,0,27,27,0,0.0,0,0,0.0,0,0.0,605,25.2,0,2017
Mark Thompson,0,36.0,39.0,39.0,36.7,1,16,15,0,0.0,0,0,0.0,0,0.0,25,23.7,0,2017
Justin Marks,0,31.0,40.0,40.0,37.2,-10,23,33,0,0.0,0,0,0.0,0,0.0,16,24.8,0,2017
David Starr,0,35.7,36.7,34.0,35.5,4,75,71,0,0.0,0,1,0.1,0,0.0,717,31.5,0,2017
Jimmie Johnson,5,12.1,9.7,14.0,11.8,329,3931,3602,2267,57.7,601,8004,78.2,737,7.2,10231,96.1,5040,2016
Joey Logano,3,8.1,11.9,10.5,9.7,-31,3323,3354,2239,67.4,395,8389,82.6,703,6.9,10160,101.2,5037,2016
Kyle Busch,4,9.6,8.8,11.5,9.3,145,2816,2671,1735,61.6,743,8746,88.1,1379,13.9,9925,104.9,5035,2016
Carl Edwards,3,7.2,10.8,13.9,10.8,-30,2662,2692,1401,52.6,651,8260,80.2,918,8.9,10303,98.0,5007,2016
Matt Kenseth,2,9.6,8.6,13.8,10.2,23,2678,2655,1470,54.9,543,8696,85.3,948,9.3,10197,99.6,2330,2016
Denny Hamlin,3,6.3,10.6,11.8,10.4,-87,3297,3384,1801,54.6,357,8217,80.9,524,5.2,10158,96.7,2320,2016
Kurt Busch,1,12.1,11.8,12.0,12.1,222,3650,3428,2124,58.2,147,7855,75.9,238,2.3,10348,88.6,2296,2016
Kevin Harvick,4,11.7,9.1,9.9,9.5,356,3276,2920,1950,59.5,985,8547,83.7,1384,13.5,10215,106.5,2289,2016
Kyle Larson,1,15.6,13.7,14.7,13.8,217,4016,3799,1908,47.5,323,6541,63.7,379,3.7,10271,87.8,2288,2016
Chase Elliott,0,11.3,11.8,14.6,12.6,113,3079,2966,1720,55.9,438,7306,71.3,358,3.5,10243,91.8,2285,2016
Martin Truex Jr.,4,9.1,9.6,13.9,9.8,143,2835,2692,1651,58.2,988,8693,85.2,1809,17.7,10199,103.8,2271,2016
Brad Keselowski,4,9.6,9.3,11.5,9.6,191,3157,2966,1999,63.3,451,8841,85.5,549,5.3,10337,99.1,2267,2016
Jamie McMurray,0,16.6,15.2,15.8,16.0,-102,4007,4109,2118,52.9,42,5850,57.4,0,0.0,10198,77.8,2231,2016
Austin Dillon,0,14.0,15.6,15.9,15.6,-35,3658,3693,1603,43.8,135,6408,62.4,17,0.2,10276,79.4,2223,2016
Tony Stewart,1,14.8,20.1,18.3,19.0,-90,2218,2308,555,25.0,43,2314,30.3,36,0.5,7631,71.2,2211,2016
Chris Buescher,1,26.3,27.4,26.1,27.2,-112,3130,3242,424,13.5,61,642,6.4,12,0.1,9992,51.2,2169,2016
Kasey Kahne,0,16.9,15.1,15.6,16.1,109,3331,3222,1626,48.8,164,6064,58.6,0,0.0,10355,78.5,898,2016
Ryan Newman,0,14.1,17.6,15.7,16.4,-70,2896,2966,987,34.1,87,5573,54.6,24,0.2,10215,76.5,895,2016
AJ Allmendinger,0,17.2,21.2,17.8,19.7,70,3303,3233,746,22.6,147,3242,32.4,29,0.3,10018,71.0,830,2016
Ryan Blaney,0,14.9,16.8,18.5,17.1,-1,4157,4158,1965,47.3,122,5128,51.2,11,0.1,10018,76.8,812,2016
Ricky Stenhouse Jr.,0,17.4,20.9,19.6,20.6,-91,3874,3965,1310,33.8,92,3174,33.2,6,0.1,9574,67.3,772,2016
Trevor Bayne,0,20.4,23.3,19.9,22.0,-183,3576,3759,1193,33.4,45,1986,19.4,34,0.3,10260,62.8,762,2016
Greg Biffle,0,20.2,20.0,21.6,20.1,-132,3603,3735,1106,30.7,89,3252,32.4,42,0.4,10046,66.6,691,2016
Danica Patrick,0,25.1,24.1,22.0,23.5,-207,3633,3840,583,16.0,55,856,8.3,30,0.3,10326,57.6,689,2016
Paul Menard,0,19.5,19.2,22.0,20.4,-60,4016,4076,1273,31.7,71,2635,27.0,20,0.2,9769,66.4,678,2016
Aric Almirola,0,23.9,22.6,23.3,23.2,125,4008,3883,977,24.4,69,1511,15.5,1,0.0,9747,59.1,638,2016
Clint Bowyer,0,30.7,25.9,23.6,26.5,47,2902,2855,495,17.1,130,511,5.0,3,0.0,10252,51.7,628,2016
Casey Mears,0,24.3,25.8,25.6,25.2,-83,2986,3069,654,21.9,61,699,7.0,7,0.1,9964,55.2,556,2016
Landon Cassill,0,31.6,28.8,26.3,28.8,-46,3159,3205,308,9.7,87,332,3.2,20,0.2,10286,45.4,530,2016
Michael McDowell,0,28.8,27.6,24.5,26.7,-96,3489,3585,624,17.9,26,331,3.7,0,0.0,8965,50.6,500,2016
Brian Scott,0,28.3,28.0,27.7,27.9,-158,2974,3132,431,14.5,57,359,3.6,6,0.1,9865,48.9,481,2016
Dale Earnhardt Jr.,0,16.3,14.2,15.6,14.7,124,1862,1738,849,45.6,152,3528,72.6,53,1.1,4861,86.1,461,2016
David Ragan,0,30.7,30.6,28.6,29.7,-115,2624,2739,277,10.6,76,195,2.0,9,0.1,9922,43.7,455,2016
Regan Smith,0,31.1,27.9,28.3,28.7,-5,3236,3241,346,10.7,47,197,2.1,8,0.1,9598,45.3,452,2016
Matt DiBenedetto,0,30.4,30.4,30.0,30.4,-88,2021,2109,70,3.5,52,124,1.4,1,0.0,9084,42.3,386,2016
Michael Annett,0,37.0,33.4,31.7,33.0,-35,1681,1716,56,3.3,32,43,0.5,7,0.1,9451,35.4,328,2016
Cole Whitt,0,35.3,33.4,30.5,32.9,-22,1130,1152,58,5.1,6,70,1.0,2,0.0,6667,36.5,276,2016
Jeff Gordon,0,16.4,13.5,13.9,14.8,-6,521,527,213,40.9,43,1723,67.0,7,0.3,2571,79.6,218,2016
Reed Sorenson,0,37.5,37.3,33.9,36.5,30,384,354,0,0.0,17,6,0.1,0,0.0,7695,29.2,198,2016
Josh Wise,0,38.2,37.3,35.0,36.6,-30,363,393,4,1.1,6,13,0.2,0,0.0,7215,28.2,168,2016
Jeffrey Earnhardt,0,38.0,36.6,33.8,36.1,-25,451,476,20,4.4,18,12,0.2,2,0.0,6922,29.9,159,2016
Brian Vickers,0,15.4,21.0,23.8,18.3,-13,672,685,281,41.8,9,798,55.0,0,0.0,1452,73.5,86,2016
Bobby Labonte,0,32.3,31.3,26.3,28.5,4,829,825,13,1.6,22,23,3.1,3,0.4,740,42.2,61,2016
David Gilliland,0,33.5,18.0,18.0,21.6,38,903,865,235,26.0,14,73,20.9,0,0.0,349,60.8,46,2016
Michael Waltrip,0,34.5,30.5,21.0,27.7,-19,661,680,19,2.9,22,26,6.7,3,0.8,388,47.1,42,2016
Boris Said,0,37.0,37.0,24.0,31.8,0,0,0,0,,0,0,0.0,0,0.0,90,38.2,17,2016
Patrick Carpentier,0,37.0,37.0,35.5,36.4,3,88,85,0,0.0,0,0,0.0,0,0.0,272,29.8,11,2016
Gray Gaulding,0,36.5,37.0,38.0,37.5,-10,17,27,0,0.0,1,0,0.0,0,0.0,656,26.2,6,2016
Eddie MacDonald,0,38.0,36.0,36.0,35.6,2,7,5,0,0.0,0,0,0.0,0,0.0,293,31.3,5,2016
Alex Kennedy,0,36.0,38.0,36.0,31.0,-10,47,57,2,4.3,0,3,3.9,0,0.0,76,47.8,5,2016
Robert Richardson,0,40.0,30.0,38.0,35.1,-21,77,98,0,0.0,5,4,3.0,0,0.0,135,27.0,3,2016
Ty Dillon,0,27.1,20.4,24.0,22.4,29,1160,1131,186,16.0,11,456,14.2,4,0.1,3212,57.2,0,2016
Joey Gase,0,38.2,36.7,35.5,37.0,3,53,50,0,0.0,0,0,0.0,0,0.0,1846,27.8,0,2016
Ryan Ellis,0,37.0,37.0,36.0,36.8,-4,93,97,0,0.0,0,0,0.0,0,0.0,1112,29.6,0,2016
Jeb Burton,0,38.0,36.0,32.5,34.4,-20,52,72,0,0.0,1,2,0.7,0,0.0,275,30.5,0,2016
Dylan Lupton,0,38.3,35.0,32.5,35.2,-7,121,128,3,2.5,0,2,0.2,0,0.0,1256,30.5,0,2016
Alex Bowman,0,12.3,21.1,19.7,17.1,34,1034,1000,385,37.2,108,1573,63.7,200,8.1,2470,82.9,0,2016
Justin Allgaier,0,39.0,28.0,40.0,32.8,15,58,43,0,0.0,0,0,0.0,0,0.0,354,36.3,0,2016
Timmy Hill,0,36.0,34.0,34.0,34.9,-15,9,24,0,0.0,0,0,0.0,0,0.0,386,32.5,0,2016
Ryan Reed,0,18.0,26.0,26.0,24.4,-37,281,318,33,11.7,6,12,6.3,0,0.0,192,67.0,0,2016
D.J. Kennington,0,39.0,38.0,35.0,37.1,6,14,8,0,0.0,0,0,0.0,0,0.0,316,28.8,0,2016
Kyle Busch,5,8.2,8.0,10.8,8.9,74,1804,1730,1020,56.5,494,6078,90.0,736,10.9,6752,108.2,5043,2015
Kevin Harvick,3,8.4,5.3,8.7,7.2,426,3171,2745,2084,65.7,1380,9510,93.4,2294,22.5,10180,118.9,5042,2015
Jeff Gordon,1,11.8,13.8,13.7,12.1,137,3490,3353,2248,64.4,218,8131,79.0,265,2.6,10292,92.7,5038,2015
Martin Truex Jr.,1,12.5,11.3,12.2,11.3,9,3294,3285,2032,61.7,411,8343,81.2,567,5.5,10272,99.7,5032,2015
Carl Edwards,2,9.1,11.0,14.0,11.4,-114,3316,3430,2050,61.8,342,7842,76.4,376,3.7,10269,95.7,2368,2015
Joey Logano,6,6.9,10.3,9.2,9.8,158,2486,2328,1590,64.0,603,8754,85.4,1431,14.0,10256,106.5,2360,2015
Brad Keselowski,1,10.0,9.2,11.1,10.2,203,3525,3322,2154,61.1,667,8364,80.8,1184,11.4,10347,101.7,2347,2015
Kurt Busch,2,10.1,9.5,11.1,9.5,296,3205,2909,2001,62.4,502,8220,85.7,788,8.2,9592,104.2,2333,2015
Denny Hamlin,2,11.7,13.6,13.6,13.0,121,3416,3295,2137,62.6,413,7128,69.4,529,5.1,10276,95.3,2327,2015
Jimmie Johnson,5,12.1,11.5,12.8,12.4,334,3439,3105,2039,59.3,498,7428,72.8,558,5.5,10207,99.3,2315,2015
Ryan Newman,0,15.3,15.8,13.5,16.7,36,2930,2894,1011,34.5,72,5116,49.3,20,0.2,10374,80.8,2314,2015
Dale Earnhardt Jr.,3,13.8,13.4,11.3,12.7,532,3103,2571,1795,57.8,303,6807,66.7,286,2.8,10208,97.1,2310,2015
Jamie McMurray,0,16.3,13.8,14.9,14.4,17,3908,3891,2056,52.6,112,7002,67.8,14,0.1,10331,84.4,2295,2015
